count, time (ms), deltaTime (ms), force, xPos, xPosRaw, xPosDeg, deltaX, deltaXDeg
14, 27, 4, 10000, -23, 8172, -1.071, -12, -0.540
15, 29, 2, 10000, -29, 8167, -1.346, -5, -0.225
16, 31, 2, 10000, -29, 8167, -1.346, 0, 0.000
17, 32, 1, 10000, -37, 8161, -1.676, -6, -0.270
18, 34, 2, 10000, -43, 8156, -1.950, -5, -0.225
19, 36, 2, 10000, -46, 8153, -2.115, -3, -0.135
20, 38, 2, 10000, -48, 8152, -2.170, -1, -0.045
21, 39, 1, 10000, -51, 8149, -2.335, -3, -0.135
22, 41, 2, 10000, -54, 8147, -2.445, -2, -0.090
23, 43, 2, 10000, -54, 8147, -2.445, 0, 0.000
24, 45, 2, 10000, -57, 8144, -2.609, -3, -0.135
25, 47, 2, 10000, -57, 8144, -2.609, 0, 0.000
26, 48, 1, 10000, -59, 8143, -2.664, -1, -0.045
27, 50, 2, 10000, -62, 8140, -2.829, -3, -0.135
28, 52, 2, 10000, -66, 8137, -2.994, -3, -0.135
29, 54, 2, 10000, -70, 8134, -3.159, -3, -0.135
30, 56, 2, 10000, -76, 8129, -3.433, -5, -0.225
31, 57, 1, 10000, -83, 8123, -3.763, -6, -0.270
32, 59, 2, 10000, -89, 8118, -4.038, -5, -0.225
33, 61, 2, 10000, -97, 8112, -4.367, -6, -0.270
34, 63, 2, 10000, -97, 8112, -4.367, 0, 0.000
35, 64, 1, 10000, -105, 8105, -4.752, -7, -0.315
36, 66, 2, 10000, -112, 8099, -5.081, -6, -0.270
37, 68, 2, 10000, -122, 8091, -5.521, -8, -0.360
38, 70, 2, 10000, -132, 8083, -5.960, -8, -0.360
39, 72, 2, 10000, -139, 8077, -6.290, -6, -0.270
40, 74, 2, 10000, -150, 8068, -6.784, -9, -0.405
41, 76, 2, 10000, -158, 8062, -7.114, -6, -0.270
42, 80, 4, 10000, -176, 8047, -7.938, -15, -0.675
43, 82, 2, 10000, -186, 8039, -8.378, -8, -0.360
44, 83, 1, 10000, -193, 8033, -8.707, -6, -0.270
45, 85, 2, 10000, -203, 8025, -9.147, -8, -0.360
46, 87, 2, 10000, -214, 8016, -9.641, -9, -0.405
47, 89, 2, 10000, -221, 8010, -9.971, -6, -0.270
48, 91, 2, 10000, -221, 8010, -9.971, 0, 0.000
49, 92, 1, 10000, -232, 8001, -10.465, -9, -0.405
50, 94, 2, 10000, -242, 7993, -10.905, -8, -0.360
51, 96, 2, 10000, -253, 7984, -11.399, -9, -0.405
52, 98, 2, 10000, -264, 7975, -11.893, -9, -0.405
53, 99, 1, 10000, -275, 7966, -12.388, -9, -0.405
54, 101, 2, 10000, -286, 7957, -12.882, -9, -0.405
55, 103, 2, 10000, -299, 7946, -13.487, -11, -0.495
56, 105, 2, 10000, -310, 7937, -13.981, -9, -0.405
57, 107, 2, 10000, -321, 7928, -14.475, -9, -0.405
58, 109, 2, 10000, -332, 7919, -14.970, -9, -0.405
59, 111, 2, 10000, -346, 7908, -15.574, -11, -0.495
60, 113, 2, 10000, -357, 7899, -16.068, -9, -0.405
61, 115, 2, 10000, -370, 7888, -16.673, -11, -0.495
62, 120, 5, 10000, -394, 7868, -17.771, -20, -0.900
63, 121, 1, 10000, -407, 7858, -18.321, -10, -0.450
64, 123, 2, 10000, -420, 7847, -18.925, -11, -0.495
65, 125, 2, 10000, -433, 7836, -19.529, -11, -0.495
66, 127, 2, 10000, -446, 7826, -20.079, -10, -0.450
67, 128, 1, 10000, -446, 7826, -20.079, 0, 0.000
68, 130, 2, 10000, -459, 7815, -20.683, -11, -0.495
69, 132, 2, 10000, -474, 7803, -21.342, -12, -0.540
70, 134, 2, 10000, -487, 7792, -21.947, -11, -0.495
71, 136, 2, 10000, -499, 7782, -22.496, -10, -0.450
72, 137, 1, 10000, -515, 7769, -23.210, -13, -0.585
73, 139, 2, 10000, -527, 7759, -23.759, -10, -0.450
74, 141, 2, 10000, -542, 7747, -24.419, -12, -0.540
75, 143, 2, 10000, -558, 7734, -25.133, -13, -0.585
76, 147, 4, 10000, -585, 7712, -26.341, -22, -0.990
77, 149, 2, 10000, -601, 7699, -27.055, -13, -0.585
78, 150, 1, 10000, -601, 7699, -27.055, 0, 0.000
79, 152, 2, 10000, -615, 7687, -27.715, -12, -0.540
80, 154, 2, 10000, -630, 7675, -28.374, -12, -0.540
81, 156, 2, 10000, -645, 7663, -29.033, -12, -0.540
82, 158, 2, 10000, -662, 7649, -29.802, -14, -0.630
83, 159, 1, 10000, -679, 7635, -30.571, -14, -0.630
84, 161, 2, 10000, -694, 7623, -31.231, -12, -0.540
85, 163, 2, 10000, -708, 7611, -31.890, -12, -0.540
86, 165, 2, 10000, -725, 7597, -32.659, -14, -0.630
87, 167, 2, 10000, -725, 7597, -32.659, 0, 0.000
88, 168, 1, 10000, -740, 7585, -33.318, -12, -0.540
89, 170, 2, 10000, -755, 7573, -33.977, -12, -0.540
90, 172, 2, 10000, -772, 7559, -34.746, -14, -0.630
91, 174, 2, 10000, -786, 7547, -35.406, -12, -0.540
92, 176, 2, 10000, -801, 7535, -36.065, -12, -0.540
93, 177, 1, 10000, -816, 7523, -36.724, -12, -0.540
94, 179, 2, 10000, -833, 7509, -37.493, -14, -0.630
95, 183, 4, 10000, -864, 7483, -38.921, -26, -1.170
96, 187, 4, 10000, -882, 7469, -39.691, -14, -0.630
97, 189, 2, 10000, -914, 7442, -41.174, -27, -1.215
98, 191, 2, 10000, -914, 7442, -41.174, 0, 0.000
